table_name,column_name
AF_Buildings,BuildingId
AF_Buildings,BuildingAddress
AF_Buildings,BuildingStreet1
AF_Buildings,BuildingStreet2
AF_Buildings,BuildingCity
AF_Buildings,BuildingState
AF_Buildings,BuildingZip
AF_Buildings,PropertyGroupId
AF_Buildings,Units
AF_Buildings,SqFt
AF_Buildings,YearBuilt
AF_Buildings,PropertyType
AF_Buildings,BuildingType
AF_Buildings,Amenities
AF_Buildings,Description
AF_Buildings,MarketRent
AF_Buildings,ManagementFeePercent
AF_Buildings,ManagementFlatFee
AF_Buildings,MinimumFee
AF_Buildings,MaximumFee
AF_Buildings,PropertyCreatedOn
AF_Buildings,PropertyCreatedBy
AF_Buildings,appfolio_collection
AF_Buildings,last_synced
AF_ChargeDetail,id
AF_ChargeDetail,UnitAddress
AF_ChargeDetail,UnitStreet1
AF_ChargeDetail,UnitStreet2
AF_ChargeDetail,UnitCity
AF_ChargeDetail,UnitState
AF_ChargeDetail,UnitZip
AF_ChargeDetail,Property
AF_ChargeDetail,PropertyName
AF_ChargeDetail,PropertyId
AF_ChargeDetail,TxnId
AF_ChargeDetail,PartyId
AF_ChargeDetail,ReceivableInvoiceDetailID
AF_ChargeDetail,UnitID
AF_ChargeDetail,GlAccountId
AF_ChargeDetail,WorkOrderId
AF_ChargeDetail,BillID
AF_ChargeDetail,PartyType
AF_ChargeDetail,ChargeDate
AF_ChargeDetail,ReceiptInfo
AF_ChargeDetail,GlAccountNumber
AF_ChargeDetail,GlAccountName
AF_ChargeDetail,ChargedTo
AF_ChargeDetail,ChargeAmount
AF_ChargeDetail,ChargeDescription
AF_ChargeDetail,PaidAmount
AF_ChargeDetail,ReceiptType
AF_ChargeDetail,ReceiptDate
AF_ChargeDetail,ReceiptReference
AF_ChargeDetail,Unit
AF_ChargeDetail,OwnersPhoneNumberEmail
AF_ChargeDetail,Owners
AF_ChargeDetail,PostingDate
AF_ChargeDetail,CreatedBy
AF_ChargeDetail,CreatedAt
AF_ChargeDetail,LastEditedAt
AF_ChargeDetail,appfolio_collection
AF_ChargeDetail,last_synced
AF_ChargeDetail,UnitName
AF_ChartOfAccounts,id
AF_ChartOfAccounts,GlAccountNumber
AF_ChartOfAccounts,GlAccountName
AF_ChartOfAccounts,GlAccountType
AF_ChartOfAccounts,SubAccountof
AF_ChartOfAccounts,OffsetAccount
